user_id;book_id;rating
d089c9b670c0b0b339353aebbace46a1;7686667;3
6dcb2c16e12a41ae0c6c38e9d46f3292;18073066;5
244e0ce681148a7586d7746676093ce9;13610986;5
73fcc25ff29f8b73b3a7578aec846394;27274343;1
f8880e158a163388a990b64fec7df300;11614718;4
677678db5bb937b3dc5ff1c849671aa1;23281919;3
80589c77f4fa826eaaf7c5d71ff3b81e;21863320;4
99b1dc91ec884b9c6815b930aa4b0fa4;27015399;3
79eae5b01d6839f1fef8ac83119bd1fc;29541818;4
fab499d055ef8d69b0ed64450ce4129f;110494;2
019670b149319ad03bdc582b756c4e6b;393060;4
4f51e533d55e7458315ffd4360e810d8;3432478;4
633a8685d591bb39947f3dffeda39324;6050298;5
37b3e60b4e4152c580fd798d405150ff;138396;4
983a47418edf1ee5697f876ca16c8403;24261890;2
3ae0a0cd97dd4f69577b5d029a7db1ae;15731779;2
181bcadf310864df7ab31df84878cb51;8483233;3
2dd481fe9082d008707e689475caf8ee;19214578;0
def079f6192273cb2b3dfb896520c18a;28363972;0
f30a6ede96a04305af67e6443da04ad8;13015019;0
1005eb30811532e8cfe80a17f3970845;12872080;5
653704064dfa74e0604262b2a646ca15;9593913;1
3edbf5f8f00f88241a194e852003e496;17347389;4
d97b57fba07976882a3a7463b0ec433b;12637458;5
f9dd97ab4dd7d92cdc1f3379b35c83a4;13526165;5
d09c95d8139674a2967fd4ef3f110b10;15931;3
cd66d248cee2fef7de8e4e8748b285b1;24378015;5
d132ed28aed3457cbcbfa5803a4a1918;21785387;0
69abbadbcd53fd504c7e741c668daf00;17332218;5
744827a4a1f9568872c7321cd97ecca0;17166702;4
e47caf6844fcc1535cf4bebbfac66c18;33729;5
4c7370522250aa24269d8b3934c80f96;27782190;3
17fd6baff0f98c6bba2019a5dd71e131;20256542;4
c2a0de0ae7e60fb366b5ebceb0fb8ea9;13459547;4
371dc9893868e05f8782591adc5926fa;28477789;3
410e2d7f3923cb03a907cb7497685877;5999242;3
46fcd1cf67b2dddb1ffa279caeaa5a02;13600168;5
cdcf1c6796be73b4c9bf04bf277fc763;9640019;2
f298b713a4c88aced106a347409d9449;28459278;4
09ac97ec16b3110a2ea8cb00de7384c7;23017989;3
4d7e99cb8df82c98ff643c263b3c557c;13372690;4
2ec99b5f92dbd0bbefad4c1c21a2ee48;8581936;3
ffca1494ab9fd9c7fd3513e914e23141;8396340;5
7453e2b9a30912b1a76c67339ceb1565;19104829;3
e3915f79f8700949dcc4ed4eefdb9632;6746018;4
1c1d174451e40b2a1bcf27708e973849;17696282;5
26530b06f3f51ebe29fa338eeb5f76ab;13085374;4
7f217176800c264da773f1d64e2e0f1a;8709526;4
ab43f15f4c1c8f49d52a90738e8a42d9;662;3
127db58be0763c2e89745ebe252f1350;31423483;4
9e14af57d0e610d28413d14f129a40f1;22921244;3
efc66516813bb6361b3d815c5ccee785;568645;5
f32ec7d5b58e42520468ebd168b42721;28226839;4
f3c8964c3a81ab9f5694f4164c9a8b2d;16368455;0
b43eaf1760e1b11bc224815a3f3c48a3;17465515;4
cf0c309ce466a2850e4103f7f0154429;852470;4
cad467bce42931cc9a462b65956e6652;37780;4
0d76d3f69ddfbb88dc0f46c901b2e5b3;22328546;3
7858ba61a797a5ef43695b72a2cd7d4e;29790356;4
929bfe22df70aacffe15fa2478d96177;34908;4
bfcd198976f3b42f9d70b225eb8746f9;7038489;3
7b4166acdefeb4adb7d12d9c1645c48f;25203675;3
798de9ac28c17e3d84fbc31ec1bd7792;30841984;5
11c8f8c23bdcf66e2fcbb713f7a55893;3522419;4
24e78952880bfe00efff4bb93228609b;20958632;4
679e4f47d61f84be420ab76fff9650e6;18867493;4
